name,manufacturer,type,image,phase,item,expectedState,notes,category
Boeing 737-800,Boeing,Airliner,,Takeoff,Autothrottle,ON,,
Boeing 737-800,Boeing,Airliner,,Takeoff,Brakes,RELEASE,,
Boeing 737-800,Boeing,Airliner,,Takeoff,Thrust,TOGA / FLEX,,
Boeing 737-800,Boeing,Airliner,,Takeoff,80 Knots,CROSS-CHECK,,
Boeing 737-800,Boeing,Airliner,,Takeoff,V1,CALL,,
Boeing 737-800,Boeing,Airliner,,Takeoff,VR,ROTATE,,
Boeing 737-800,Boeing,Airliner,,Takeoff,V2,CONFIRM,,
Boeing 737-800,Boeing,Airliner,,Takeoff,Positive Rate,GEAR UP,,
Boeing 737-800,Boeing,Airliner,,After Takeoff,Flaps,UP / NO LIGHTS,,
Boeing 737-800,Boeing,Airliner,,After Takeoff,Landing Gear Lever,UP / OFF LIGHT,,
Boeing 737-800,Boeing,Airliner,,After Takeoff,Engine Bleeds,ON,,
Boeing 737-800,Boeing,Airliner,,After Takeoff,Packs,AUTO,,
Boeing 737-800,Boeing,Airliner,,After Takeoff,Altimeters,SET,,
Boeing 737-800,Boeing,Airliner,,Cruise,Cruise Altitude,VERIFY,,
Boeing 737-800,Boeing,Airliner,,Cruise,Altimeters,SET / CROSS-CHECK,,
Boeing 737-800,Boeing,Airliner,,Cruise,Fuel Balance,CHECK,,
Boeing 737-800,Boeing,Airliner,,Cruise,Engine Instruments,MONITOR,,
Boeing 737-800,Boeing,Airliner,,Descent,ATIS / Weather,OBTAIN,,
Boeing 737-800,Boeing,Airliner,,Descent,Approach Briefing,COMPLETE,,
Boeing 737-800,Boeing,Airliner,,Descent,Altimeters,SET / CROSS-CHECK,,
Boeing 737-800,Boeing,Airliner,,Descent,NAV Radios,SET,,
Boeing 737-800,Boeing,Airliner,,Descent,Pressurization,LAND ALT SET,,
Boeing 737-800,Boeing,Airliner,,Approach,Speedbrake,ARMED,,
Boeing 737-800,Boeing,Airliner,,Approach,Landing Gear,DOWN / 3 GREEN,,
Boeing 737-800,Boeing,Airliner,,Approach,Flaps,SET FOR LANDING,,
Boeing 737-800,Boeing,Airliner,,Approach,Autobrake,SET,,
Boeing 737-800,Boeing,Airliner,,Approach,Go-Around Altitude,SET,,
Boeing 737-800,Boeing,Airliner,,After Landing,Speedbrake,DOWN / RETRACTED,,
Boeing 737-800,Boeing,Airliner,,After Landing,Flaps,UP,,
Boeing 737-800,Boeing,Airliner,,After Landing,Probe Heat,OFF,,
Boeing 737-800,Boeing,Airliner,,After Landing,APU,START,,
Boeing 737-800,Boeing,Airliner,,After Landing,Landing & Taxi Lights,AS REQUIRED,,
Boeing 737-800,Boeing,Airliner,,After Landing,Transponder,STANDBY,,
Boeing 737-800,Boeing,Airliner,,Shutdown,Parking Brake,SET,,
Boeing 737-800,Boeing,Airliner,,Shutdown,Engine Start Levers,CUTOFF,,
Boeing 737-800,Boeing,Airliner,,Shutdown,Fasten Belts Sign,OFF,,
Boeing 737-800,Boeing,Airliner,,Shutdown,Hydraulic Pumps,OFF,,
Boeing 737-800,Boeing,Airliner,,Shutdown,Fuel Pumps,OFF,,
Boeing 737-800,Boeing,Airliner,,Shutdown,Window Heat,OFF,,
Boeing 737-800,Boeing,Airliner,,Shutdown,Anti-Collision Light,OFF,,
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),Autothrottle,OFF,Immediate action,Emergency
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),Thrust Levers,IDLE,Immediate action,Emergency
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),Engine Start Lever,CUTOFF (Affected Engine),,Emergency
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),Engine Fire Switch,PULL,,Emergency
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),Fire Bottle,DISCHARGE,,Emergency
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),Parking Brake,SET,,Emergency
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),ATC,NOTIFY,,Emergency
Boeing 737-800,Boeing,Airliner,,Engine Fire (Ground),Evacuation,AS REQUIRED,,Emergency
